pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
14 Her b,14 Her,2002,12.5,1766.41,2.839,147.32,0.3683,5338.0,0.93,0.97,1,2,Radial Velocity,2828.6728223
16 Cyg B b,16 Cyg B,1996,13.5,798.5,1.66,228.76,0.68,5750.0,1.13,1.08,3,1,Radial Velocity,565.7374
17 Sco b,17 Sco,2020,12.9,578.38,1.45,847.51,0.06,4157.0,25.92,1.22,1,1,Radial Velocity,1373.01871824
18 Del b,18 Del,2008,12.5,982.85,2.476,452.72,0.024,4980.0,8.8,2.1,2,1,Radial Velocity,2926.24614325
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,18.647,10.559687499999999,330.0,1700.0,0.0,4060.0,1.31316,0.85,1,1,Imaging,3000.0
24 Boo b,24 Boo,2018,13.9,30.33,0.194,1840.86,0.032,4816.0,12.19,1.05,1,1,Radial Velocity,280.64248338
24 Sex b,24 Sex,2010,13.4,452.8,1.333,471.32,0.09,5098.0,4.9,1.54,1,2,Radial Velocity,632.46
24 Sex c,24 Sex,2010,13.9,883.0,2.08,377.31,0.29,5098.0,4.9,1.54,1,2,Radial Velocity,273.32
2M0437 b,2MASS J04372171+2651014,2021,13.0,10.559687499999999,118.0,1450.0,0.0,3100.0,0.84,0.17,1,1,Imaging,1271.313628
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2010,12.6,10.559687499999999,15.0,17.6,0.0,2936.0,0.231916,0.019,1,1,Imaging,2383.6
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,13.4,406.0,0.92,669.65,0.33,29564.0,0.203,0.48,2,3,Eclipse Timing Variations,603.877
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2016,12.3,10.559687499999999,230.0,10.3,0.0,4045.0,0.641152,0.6,1,1,Imaging,3972.875
4 UMa b,4 UMa,2006,12.6,270.27,0.877,967.44,0.453,4415.0,18.11,1.234,1,1,Radial Velocity,2511.48007211
47 UMa b,47 UMa,1996,13.2,1078.0,2.1,215.23,0.032,5872.0,1.21334,1.06,1,3,Radial Velocity,804.08
47 UMa c,47 UMa,2001,14.2,2391.0,3.6,164.38,0.098,5872.0,1.21334,1.06,1,3,Radial Velocity,171.621
47 UMa d,47 UMa,2009,13.5,14002.0,11.6,91.58,0.16,5872.0,1.21334,1.06,1,3,Radial Velocity,521.22
51 Peg b,51 Peg,1995,14.1,4.2307966,0.052,1328.93,0.0063,5761.0,1.19,1.07,1,1,Radial Velocity,193.87532827
55 Cnc B b,55 Cnc B,2025,1.69,6.7994,0.044,395.41,0.0,3286.0,0.274,0.26,2,7,Radial Velocity,3.5
55 Cnc B c,55 Cnc B,2025,2.16,33.747,0.13,230.04,0.0,3286.0,0.274,0.26,2,7,Radial Velocity,5.3
55 Cnc b,55 Cnc,1996,13.9,14.651552,0.118,700.0,0.0029,5198.0,0.98,1.015,2,7,Radial Velocity,263.9785
55 Cnc d,55 Cnc,2002,13.0,4799.0,5.6,104.85,0.0913,5198.0,0.98,1.015,2,7,Radial Velocity,1232.493
55 Cnc e,55 Cnc,2004,1.875,0.7365474,0.01544,1958.0,0.05,5172.0,0.943,0.905,2,7,Radial Velocity,7.99
55 Cnc f,55 Cnc,2007,7.59,260.58,0.802,277.07,0.063,5198.0,0.98,1.015,2,7,Radial Velocity,44.812
6 Lyn b,6 Lyn,2008,13.4,919.86,2.028,371.86,0.042,4941.0,4.94,1.32,1,1,Radial Velocity,597.83523357
61 Vir b,61 Vir,2009,2.11,4.215,0.050201,1177.85,0.12,5577.0,0.963,0.942,1,3,Radial Velocity,5.1
61 Vir d,61 Vir,2009,5.11,123.01,0.476,382.51,0.35,5577.0,0.963,0.942,1,3,Radial Velocity,22.9
7 CMa b,7 CMa,2011,13.4,735.1,1.758,387.33,0.06,4826.0,4.87,1.34,1,2,Radial Velocity,587.9855
7 CMa c,7 CMa,2019,13.9,996.0,2.153,350.0,0.08,4826.0,4.87,1.34,1,2,Radial Velocity,276.5121
70 Vir b,70 Vir,1996,12.6,116.688,0.481,525.24,0.3988,5495.0,1.89,1.09,1,1,Radial Velocity,2380.45
75 Cet c,75 Cet,2023,13.9,2051.62,3.929,376.92,0.023,4809.0,10.38,1.92,2,2,Radial Velocity,289.85950718
8 UMi b,8 UMi,2015,13.5,93.31,0.462,1126.38,0.062,4847.0,10.73,1.51,1,1,Radial Velocity,524.41687155
81 Cet b,81 Cet,2008,13.1,1005.57,2.104,526.92,0.037,4734.0,11.21,1.23,1,1,Radial Velocity,1051.05854195
AB Aur b,AB Aur,2022,12.5,10.559687499999999,93.9,83.63,0.4,9770.0,2.95887,2.4,1,1,Imaging,2860.455663
AF Lep b,AF Lep,2023,13.0,8905.0,8.996,1400.0,0.015,6140.0,1.25,1.218,1,1,Imaging,1147.36054927
AT2021ueyL b,AT2021ueyL,2025,13.6,4168.69,4.01,751.0,0.0,3680.0,0.95,0.49,1,1,Microlensing,425.89006538
AU Mic c,AU Mic,2021,2.79,18.859023,0.119,424.7,0.18,3540.0,0.862,0.635,1,4,Transit,14.46
AU Mic e,AU Mic,2025,4.87,33.11,0.099815,751.0,0.0,3665.0,0.82,0.6,1,4,Radial Velocity,21.1
BD+03 2562 b,BD+03 2562,2017,12.7,481.9,1.3,985.04,0.2,4095.0,32.35,1.14,1,1,Radial Velocity,2034.112
BD+15 2940 b,BD+15 2940,2013,13.7,137.48,0.539,1207.75,0.26,4796.0,14.7,1.1,1,1,Radial Velocity,352.78
BD+20 2457 c,BD+20 2457,2009,12.4,621.99,2.01,984.96,0.18,4137.0,49.0,2.8,1,2,Radial Velocity,3963.17
BD+20 274 b,BD+20 274,2012,13.0,578.2,1.3,755.7,0.21,4296.0,17.3,0.8,1,1,Radial Velocity,1334.886
BD+20 594 b,BD+20 594,2016,2.57807,41.6855,0.241,546.0,0.0,5766.0,1.08,1.67,1,1,Transit,22.2481
BD+37 3172 b,BD+37 3172,2023,12.4,1887.76,4.65,713.25,0.59,4500.0,50.24,3.75,1,1,Radial Velocity,3368.9811142
BD+42 2315 b,BD+42 2315,2023,14.2,123.05,0.54,1247.58,0.73,4500.0,17.85,1.38,1,1,Radial Velocity,174.80562385
BD+45 564 b,BD+45 564,2021,13.6,307.88,0.83,238.82,0.12,5004.0,0.813064,0.81,1,1,Radial Velocity,432.24663352
BD+48 738 b,BD+48 738,2011,13.9,392.6,1.0,705.93,0.2,4414.0,11.0,0.74,1,1,Radial Velocity,289.2253
BD+48 740 b,BD+48 740,2018,13.5,733.0,1.7,538.94,0.76,4534.0,10.33,1.09,1,1,Radial Velocity,540.311
BD+49 828 b,BD+49 828,2015,13.5,2590.0,4.2,320.63,0.35,4943.0,7.6,1.52,1,1,Radial Velocity,508.5
BD+55 362 b,BD+55 362,2021,14.0,265.59,0.78,259.06,0.27,5012.0,0.896193,0.909,1,1,Radial Velocity,228.83645304
BD-06 1339 c,BD-06 1339,2013,8.38,125.94,0.435,261.91,0.31,4324.0,0.686355,0.7,1,2,Radial Velocity,53.0
BD-08 2823 c,BD-08 2823,2009,12.5,237.6,0.68,233.85,0.19,4746.0,0.71,0.74,1,2,Radial Velocity,104.0
BD-10 3166 b,BD-10 3166,2000,14.1,3.48777,0.04,1240.38,0.02,5393.0,0.91,1.47,1,1,Radial Velocity,187.5197
BD-11 4672 b,BD-11 4672,2014,14.1,1634.0,2.36,114.17,0.05,4550.0,0.639,0.651,1,2,Radial Velocity,206.5895
BD-11 4672 c,BD-11 4672,2020,4.04,74.2,0.3,320.21,0.4,4550.0,0.639,0.651,1,2,Radial Velocity,15.37
BD-13 2130 b,BD-13 2130,2007,12.5,714.29999,1.66,744.77,0.21,4545.0,19.17,2.12,1,1,Radial Velocity,3108.3774
BD-14 3065 b,BD-14 3065 A,2024,21.59,4.2889731,0.0656,2001.0,0.066,6935.0,2.35,1.41,3,1,Transit,3932.0
BD-17 63 b,BD-17 63,2008,12.8,655.57,1.34,168.92,0.5439,4714.0,0.74,0.741,1,1,Radial Velocity,1639.99458012
BD-210397 b,BD-210397,2023,14.0,1891.0,2.63,104.11,0.1,4051.0,0.747,0.679,1,2,Radial Velocity,214.0
BEBOP-3 b,BEBOP-3,2025,14.2,547.0,1.444,287.88,0.247,6033.0,1.414,1.083,2,1,Radial Velocity,177.34825111
Barnard b,Barnard's star,2024,0.72,3.1542,0.0229,438.0,0.03,3195.0,0.185,0.162,1,4,Radial Velocity,0.299
Barnard d,Barnard's star,2025,0.694,2.3402,0.0188,483.0,0.04,3195.0,0.185,0.162,1,4,Radial Velocity,0.263
Barnard e,Barnard's star,2025,0.637,6.7392,0.0381,340.0,0.04,3195.0,0.185,0.162,1,4,Radial Velocity,0.193
CD Cet b,CD Cet,2020,1.82,2.2907,0.0185,464.0,0.0,3130.0,0.175,0.161,1,1,Radial Velocity,3.95
CD-35 2722 B b,CD-35 2722 B,2026,13.9,171.11,0.2,77.39,0.27,1800.0,0.159,0.035,2,1,Radial Velocity,292.40213444
CHXR 73 b,CHXR 73,2006,12.3,10.559687499999999,210.0,751.0,0.0,3099.0,0.95,0.35,1,1,Imaging,3994.486
CI Tau c,CI Tau,2024,13.0,25.2,0.17,610.62,0.58,3807.0,1.880857,0.9,1,1,Radial Velocity,1144.1822652
CoRoT-1 b,CoRoT-1,2008,16.7,1.5089557,0.02752,1898.0,0.0,5950.0,1.11,0.95,1,1,Transit,327.35
CoRoT-10 b,CoRoT-10,2010,10.87,13.2406,0.1055,600.0,0.53,5075.0,0.79,0.89,1,1,Transit,874.0
CoRoT-11 b,CoRoT-11,2010,16.03,2.99433,0.0436,1657.0,0.0,6440.0,1.37,1.27,1,1,Transit,740.51
CoRoT-13 b,CoRoT-13,2010,9.92,4.03519,0.051,1700.0,0.0,5945.0,1.01,1.09,1,1,Transit,415.704
CoRoT-14 b,CoRoT-14,2010,12.22,1.51214,0.027,1952.0,0.0,6035.0,1.21,1.13,1,1,Transit,2415.4
CoRoT-16 b,CoRoT-16,2011,13.11,5.35227,0.0618,1195.53,0.33,5650.0,1.19,1.098,1,1,Transit,170.032
CoRoT-2 b,CoRoT-2,2008,16.432,1.7429935,0.02798,1521.0,0.0143,5625.0,0.906,0.96,2,1,Transit,1102.82
CoRoT-22 b,CoRoT-22,2014,4.88,9.75598,0.092,885.0,0.077,5939.0,1.136,1.099,1,1,Transit,12.2
