pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,sy_snum,sy_pnum
"HD 2039 b","HD 2039","Radial Velocity",2002,1999.15070000,12.70000000,1120.00000000000,2.2000000000,0.710000,210.84,5945.00,1.190000,1.230000,1,1
"HAT-P-8 b","HAT-P-8","Transit",2008,406.82240000,15.69260000,3.07634000000,0.0449600000,0.000000,1713.00,6200.00,1.570000,1.270000,3,1
"K2-43 b","K2-43","Transit",2016,18.50000000,4.51000000,3.47114900000,0.0378400000,0.070000,939.30,3840.60,0.542000,0.571000,1,2
"Kepler-1753 b","Kepler-1753","Transit",2021,5.59000000,2.22678077,16.00460052000,0.1179000000,0.000000,583.00,5180.00,0.769000,0.860000,1,1
"Kepler-1176 b","Kepler-1176","Transit",2016,6.57000000,2.45000000,24.17385790000,0.1589000000,0.000000,595.00,5844.00,1.020000,1.010000,1,1
"K2-126 b","K2-126","Transit",2017,4.54000000,1.97000000,7.38565500000,0.0656000000,0.060000,601.00,4339.00,0.650000,0.690000,1,1
"Kepler-1263 b","Kepler-1263","Transit",2016,1.55000000,1.14000000,4.55139967000,0.0499000000,0.000000,907.00,5213.00,0.800000,0.840000,1,1
"Kepler-1416 b","Kepler-1416","Transit",2016,0.61500000,0.88000000,1.49514952000,0.0257000000,0.000000,1870.00,6019.00,1.150000,1.090000,1,1
"Kepler-1542 c","Kepler-1542","Transit",2016,0.20800000,0.65000000,2.89223021000,0.0387000000,0.000000,1287.00,5564.00,0.990000,0.940000,1,4
"K2-85 b","K2-85","Transit",2016,3.20000000,1.40000000,0.68453862616,0.0130000000,0.240000,1355.00,4232.00,0.710000,0.700000,1,1
"Kepler-368 c","Kepler-368","Transit",2014,14.30000000,3.88000000,72.37933400000,0.3600000000,0.000000,575.00,5502.00,2.019000,1.165000,1,2
"K2-123 b","K2-123","Transit",2017,8.05000000,2.76000000,30.95152400000,0.1649000000,0.060000,338.00,4035.00,0.590000,0.620000,1,1
